county_name,STATEICP,COUNTYICP,county_lon,county_lat
Bastrop,49,210,-97.31201949,30.10361123
Bates,34,130,-94.34000386,38.25729905
Bath,51,110,-83.74278246,38.14505447
Bath,40,170,-79.74109215,38.05869988
Baxter,42,50,-92.33697486,36.28719584
Bay,43,50,-85.6147593,30.27904039
Bay,23,170,-83.9920153,43.70725427
Bayfield,25,70,-91.20088576,46.52365546
Baylor,49,230,-99.21352292,33.61649561
Beadle,37,50,-98.27811883,44.41448775
Bear Lake,63,70,-111.3296713,42.28478115
Beaufort,47,130,-76.86304812,35.4947085
Beaufort,48,130,-80.76552485,32.36361341
Beauregard,45,110,-93.34334523,30.64847204
Beaver,53,70,-100.4767979,36.74970691
Beaver,14,70,-80.34930156,40.68229635
Beaver,67,10,-113.2357678,38.35771296
Beaverhead,64,10,-112.898903,45.13273585
Becker,33,50,-95.67393432,46.93465715
Beckham,53,90,-99.68190638,35.26869878
Bedford,14,90,-78.49027614,40.0065922
Bedford,54,30,-86.45888924,35.51380161
Bedford,40,190,-79.52018237,37.3167919
Bee,49,250,-97.74119792,28.41739748
Belknap,4,10,-71.42335707,43.51869974
Bell,51,130,-83.6739693,36.730677
Bell,49,270,-97.47824684,31.03767626
Belmont,24,130,-80.98854661,40.01580773
Beltrami,33,70,-94.93765882,47.97378742
Ben Hill,44,170,-83.22046293,31.75978771
Benewah,63,90,-116.6588368,47.21755762
Bennett,37,70,-101.6639786,43.19492742
Bennington,6,30,-73.09295219,43.03547317
Benson,36,50,-99.36603719,48.06939529
Bent,62,110,-103.0717092,37.95509807
Benton,42,70,-94.25733238,36.33918785
Benton,22,70,-87.31091063,40.60626595
Benton,31,110,-92.06569821,42.08019399
Benton,33,90,-93.99887014,45.69914343
Benton,46,90,-89.18848242,34.81728986
Benton,34,150,-93.28795838,38.29485093
Benton,72,30,-123.4204106,44.4967821
Benton,54,50,-88.06827947,36.06979953
Benton,73,50,-119.5112065,46.23978036
Benzie,23,190,-86.01552701,44.63870913
